Line#, Reward Date, Investmest Amount, Reward Amount, Total Reward Amount to Date, Staking Reward Rate
1, 2020-11-15, 10.009563, 0.009563, 0.009563, 7.000000%
2, 2020-12-15, 10.068909, 0.059346, 0.068909, 7.000000%
3, 2021-1-15, 10.128607, 0.059698, 0.128607, 7.000000%
4, 2021-2-15, 10.182848, 0.054241, 0.182848, 7.000000%
5, 2021-3-15, 10.243222, 0.060374, 0.243222, 7.000000%
6, 2021-4-15, 10.301994, 0.058773, 0.301994, 7.000000%
7, 2021-5-15, 10.363074, 0.061080, 0.363074, 7.000000%
8, 2021-6-15, 10.422535, 0.059460, 0.422535, 7.000000%
9, 2021-7-15, 10.484329, 0.061795, 0.484329, 7.000000%
10, 2021-8-15, 10.546491, 0.062161, 0.546491, 7.000000%
11, 2021-9-15, 10.607003, 0.060513, 0.607003, 7.000000%
12, 2021-10-15, 10.669892, 0.062889, 0.669892, 7.000000%
13, 2021-11-15, 10.731113, 0.061221, 0.731113, 7.000000%
14, 2021-12-15, 10.794737, 0.063624, 0.794737, 7.000000%
15, 2022-1-15, 10.858738, 0.064002, 0.858738, 7.000000%
16, 2022-2-15, 10.916889, 0.058151, 0.916889, 7.000000%
17, 2022-3-15, 10.981615, 0.064726, 0.981615, 7.000000%
18, 2022-4-15, 11.044624, 0.063009, 1.044624, 7.000000%
19, 2022-5-15, 11.110107, 0.065483, 1.110107, 7.000000%
20, 2022-6-15, 11.173854, 0.063747, 1.173854, 7.000000%
21, 2022-7-15, 11.240103, 0.066249, 1.240103, 7.000000%
22, 2022-8-15, 11.306745, 0.066642, 1.306745, 7.000000%
23, 2022-9-15, 11.371620, 0.064875, 1.371620, 7.000000%
24, 2022-10-15, 11.439042, 0.067422, 1.439042, 7.000000%
25, 2022-11-10, 11.504676, 0.065634, 1.504676, 7.000000%
